Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,213,48.133,542.947,-2478,-82.6,9082.8,,,,,,
Moderate_Risk:Fibonacci,214,50.9,1167.403,1031,34.367,59685.895,,,,,,
Moderate_Risk:Fibonacci,215,53.667,889.402,157,5.233,94254.323,,,,,,
Moderate_Risk:Fibonacci,216,47.7,892.148,-671,-22.367,38124.516,,,,,,
Moderate_Risk:Fibonacci,217,42.4,790.8,-760,-25.333,41145.678,,,,,,
Moderate_Risk:Fibonacci,218,54.7,935.803,-1515,-50.5,18092.259,,,,,,
Moderate_Risk:Fibonacci,219,55.267,1248.616,-440,-14.667,32321.54,,,,,,
Moderate_Risk:Fibonacci,220,54.9,1028.783,1619,53.967,112600.309,,,,,,
Moderate_Risk:Fibonacci,221,53.2,727.476,-248,-8.267,119077.237,,,,,,
Moderate_Risk:Fibonacci,222,46.033,853.275,-1149,-38.3,37549.045,,,,,,
Moderate_Risk:Fibonacci,223,43.867,844.189,-1201,-40.033,24313.551,,,,,,
Moderate_Risk:Fibonacci,224,46.533,1065.844,-1729,-57.633,24491.757,,,,,,
Moderate_Risk:Fibonacci,225,56.533,1174.878,660,22,40926.069,,,,,,
Moderate_Risk:Fibonacci,226,55.567,1110.53,814,27.133,61932.464,,,,,,
Moderate_Risk:Fibonacci,227,42.633,1048.24,-1304,-43.467,24025.292,,,,,,
Moderate_Risk:Fibonacci,228,49.233,1135.426,-1734,-57.8,13488.097,,,,,,
Moderate_Risk:Fibonacci,229,40.1,873.334,-1977,-65.9,12298.507,,,,,,
Moderate_Risk:Fibonacci,230,50.667,890.023,-1126,-37.533,30106.602,,,,,,
Moderate_Risk:Fibonacci,231,55.3,1029.941,-604,-20.133,28053.775,,,,,,
Moderate_Risk:Fibonacci,232,51.533,875.016,-1412,-47.067,31918.754,,,,,,
Moderate_Risk:Fibonacci,233,54.933,1016.202,-601,-20.033,23491.482,,,,,,
Moderate_Risk:Fibonacci,234,51.533,1179.223,-31,-1.033,52631.964,,,,,,
Moderate_Risk:Fibonacci,235,47.767,851.495,-1207,-40.233,21030.944,,,,,,
Moderate_Risk:Fibonacci,236,52.8,1015.269,-17,-0.567,54738.668,,,,,,
Moderate_Risk:Fibonacci,237,38.8,722.234,-2653,-88.433,4013.633,,,,,,
Moderate_Risk:Fibonacci,238,50.1,1144.231,-1490,-49.667,12336.437,,,,,,
Moderate_Risk:Fibonacci,239,52.067,832.478,-686,-22.867,43769.223,,,,,,
Moderate_Risk:Fibonacci,240,51.233,746.53,1156,38.533,285874.671,,,,,,
